TYPENAME,,4LayeredAssembly,,Assembly,,,,,,
PRESET,,"2Layer0D --> Mass --> CrossLaminatedTimber
1Material --> Wood --> Spruce-Pine-Fir
0RawMaterial
Spruce-Pine-Fir
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Unfinished
0DimThk
9.625inT-2Layer0D --> Roll --> Felt
1Material --> Fabric and Upholstery --> Felt
0RawMaterial
Felt
0Color --> Fabric and Upholstery --> Felt
B9A081-Khaki
0SrfTreatment
Standard
0DimThk
2mmT-2Layer0D --> Roll --> PlasticUnderlayment
1Material --> Synthetic and Polymer --> Plastic
0RawMaterial
Plastic
0Color --> Abstract
6B6B6B-Gray6
0SrfTreatment
Standard
0DimThk
0.0625inT",,4LayeredAssembly --> Finish,,4LayeredAssembly-48,,"2Layer0D --> Mass --> CrossLaminatedTimber
1Material --> Wood --> Spruce-Pine-Fir
0RawMaterial
Spruce-Pine-Fir
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Unfinished
0DimThk
9.625inT",,
PRESET,,,,,,,,"2Layer0D --> Roll --> Felt
1Material --> Fabric and Upholstery --> Felt
0RawMaterial
Felt
0Color --> Fabric and Upholstery --> Felt
B9A081-Khaki
0SrfTreatment
Standard
0DimThk
2mmT",,
PRESET,,,,,,,,"2Layer0D --> Roll --> PlasticUnderlayment
1Material --> Synthetic and Polymer --> Plastic
0RawMaterial
Plastic
0Color --> Abstract
6B6B6B-Gray6
0SrfTreatment
Standard
0DimThk
0.0625inT",,
PRESET,,"2Layer0D --> Sitework --> Gravel
1Material --> Aggregates --> Gravel
0RawMaterial
Gravel
0Color --> Aggregates --> Gravel
FFFFFF-White
0SrfTreatment
Standard
0DimThk
8inT-2Layer0D --> Roll --> LathMetal
1Material --> Metal --> Aluminum
0RawMaterial
Aluminum
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard
0DimThk
0.125inT-2Layer0D --> Sitework --> Grass
1Material --> Fibrous --> Wood Particles
0RawMaterial
Wood Particles
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
1inT-2Layer0D --> Spread --> Asphalt
1Material --> Aggregates --> Asphalt
0RawMaterial
Asphalt
0Color --> Aggregates --> Asphalt
594D41-Barkwood
0SrfTreatment
Standard
0DimThk
1inT",,4LayeredAssembly --> Finish,,4LayeredAssembly-51,,"2Layer0D --> Sitework --> Gravel
1Material --> Aggregates --> Gravel
0RawMaterial
Gravel
0Color --> Aggregates --> Gravel
FFFFFF-White
0SrfTreatment
Standard
0DimThk
8inT",,
PRESET,,,,,,,,"2Layer0D --> Roll --> LathMetal
1Material --> Metal --> Aluminum
0RawMaterial
Aluminum
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard
0DimThk
0.125inT",,
PRESET,,,,,,,,"2Layer0D --> Sitework --> Grass
1Material --> Fibrous --> Wood Particles
0RawMaterial
Wood Particles
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
1inT",,
PRESET,,,,,,,,"2Layer0D --> Spread --> Asphalt
1Material --> Aggregates --> Asphalt
0RawMaterial
Asphalt
0Color --> Aggregates --> Asphalt
594D41-Barkwood
0SrfTreatment
Standard
0DimThk
1inT",,
PRESET,,"2Layer0D --> Membrane --> BitumenousFelt
1Material --> Fabric and Upholstery --> Felt
0RawMaterial
Felt
0Color --> Fabric and Upholstery --> Felt
B9A081-Khaki
0SrfTreatment
Standard
0DimThk
0.0625inT-2Layer0D --> Membrane --> PVC
1Material --> Synthetic and Polymer --> Plastic
0RawMaterial
Plastic
0Color --> Abstract
6B6B6B-Gray6
0SrfTreatment
Standard
0DimThk
0.0625inT",,4LayeredAssembly --> Finish,,4LayeredAssembly-55,,"2Layer0D --> Membrane --> BitumenousFelt
1Material --> Fabric and Upholstery --> Felt
0RawMaterial
Felt
0Color --> Fabric and Upholstery --> Felt
B9A081-Khaki
0SrfTreatment
Standard
0DimThk
0.0625inT",,
PRESET,,,,,,,,"2Layer0D --> Membrane --> PVC
1Material --> Synthetic and Polymer --> Plastic
0RawMaterial
Plastic
0Color --> Abstract
6B6B6B-Gray6
0SrfTreatment
Standard
0DimThk
0.0625inT",,
PRESET,,"2Layer0D --> Sitework --> Soil
1Material --> Fibrous --> Wood Strands
0RawMaterial
Wood Strands
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
4inT-2Layer0D --> Roll --> Carpet
1Material --> Fabric and Upholstery --> Carpet
0RawMaterial
Carpet (Medium Profile)
0Color --> Fabric and Upholstery --> Carpet
7A878F-SilverBlue
0SrfTreatment
Standard
0DimThk
0.5inT-2Layer0D --> Sitework --> Soil
1Material --> Fibrous --> Wood Strands
0RawMaterial
Wood Strands
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
3inT",,4LayeredAssembly --> Finish,,4LayeredAssembly-57,,"2Layer0D --> Sitework --> Soil
1Material --> Fibrous --> Wood Strands
0RawMaterial
Wood Strands
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
4inT",,
PRESET,,,,,,,,"2Layer0D --> Roll --> Carpet
1Material --> Fabric and Upholstery --> Carpet
0RawMaterial
Carpet (Medium Profile)
0Color --> Fabric and Upholstery --> Carpet
7A878F-SilverBlue
0SrfTreatment
Standard
0DimThk
0.5inT",,
PRESET,,,,,,,,"2Layer0D --> Sitework --> Soil
1Material --> Fibrous --> Wood Strands
0RawMaterial
Wood Strands
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
3inT",,
PRESET,,"2Layer0D --> Mass --> PrecastConcrete
1Material --> Aggregates --> Concrete
0RawMaterial
Concrete (Normal Aggregate)
0Color --> Aggregates --> Concrete
D6D7D8-Natural
0SrfTreatment
Standard
0DimThk
3inT-2Layer0D --> Mass --> CrossLaminatedTimber
1Material --> Wood --> Spruce-Pine-Fir
0RawMaterial
Spruce-Pine-Fir
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Unfinished
0DimThk
3.5inT",,4LayeredAssembly --> Ceiling,,Ceiling Dude Guy 1,,"2Layer0D --> Mass --> PrecastConcrete
1Material --> Aggregates --> Concrete
0RawMaterial
Concrete (Normal Aggregate)
0Color --> Aggregates --> Concrete
D6D7D8-Natural
0SrfTreatment
Standard
0DimThk
3inT",,
PRESET,,,,,,,,"2Layer0D --> Mass --> CrossLaminatedTimber
1Material --> Wood --> Spruce-Pine-Fir
0RawMaterial
Spruce-Pine-Fir
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Unfinished
0DimThk
3.5inT",,
PRESET,,,,4LayeredAssembly --> Ceiling,,,,,,
PRESET,,,,,,,,,,
