TYPENAME,,AssemblyTemp,,Assembly,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Assembly.Name,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Assembly.Name,DataType=StartsInProject,x,DataType=Dimensions,Dimension,Value,DataType=Profile,Module.Profile,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTintVariation,ColorTint
PRESET,,B87F0D86-D983-D74E-971A-5D38CCF6ACAA,,Part_1FlexDim2Fixed_ExtrudedProfile_Mortar-Width-.375in-Depth-3.125in-0Profile-Rectangular Mullion-Finish1-0RawMaterial-Cement-DDDDDD,,Part_1FlexDim2Fixed_ExtrudedProfile_Mortar,,"3/8"" Mortar",,X,,Width,.375in,,0Profile-Rectangular Mullion,,Finish1,0RawMaterial-Cement,,0,DDDDDD
PRESET,,,,,,,,,,,,Depth,3.125in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,D4C6742D-FFFB-2548-A0DD-9DC0B21ECD1D,,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Simple-Width-2in-Depth-3in-0Profile-Rectangular Mullion-Finish1-0RawMaterial-Aluminum-FFFFFF,,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Simple,,"2in x 3in, Aluminum, Pure White",,X,,Width,2in,,0Profile-Rectangular Mullion,,Finish1,0RawMaterial-Aluminum,,0,FFFFFF
PRESET,,,,,,,,,,,,Depth,3in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,BBFD18EE-A4DC-B544-A0E8-EC6AE8261320,,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Simple-Width-2in-Depth-4in-0Profile-Rectangular Mullion-Finish1-0RawMaterial-Aluminum-FFFFFF,,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Simple,,"2in x 4in, Aluminum, Light Gray",,X,,Width,2in,,0Profile-Rectangular Mullion,,Finish1,0RawMaterial-Aluminum,,0,FFFFFF
PRESET,,,,,,,,,,,,Depth,4in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,84648676-20E1-FD47-8C10-D620707C1C62,,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Simple-Width-2in-Depth-6in-0Profile-Rectangular Mullion-Finish1-0RawMaterial-Aluminum-FFFFFF,,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Simple,,"2in x 6in, Aluminum, Sandstone",,X,,Width,2in,,0Profile-Rectangular Mullion,,Finish1,0RawMaterial-Aluminum,,0,FFFFFF
PRESET,,,,,,,,,,,,Depth,6in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,FBA53785-0D67-8448-9888-7B805AAF9DAD,,"Part_1FlexDim2Fixed_ExtrudedProfile_Stringer-Width-7in-Depth-7in-Thickness-0.233-0Profile-Hollow Structural Section, HSS-Finish1-0RawMaterial-Steel-FFFFFF",,Part_1FlexDim2Fixed_ExtrudedProfile_Stringer,,"HSS7X7X1/4, Steel, Untinted",,X,,Width,7in,,"0Profile-Hollow Structural Section, HSS",,Finish1,0RawMaterial-Steel,,0,FFFFFF
PRESET,,,,,,,,,,,,Depth,7in,,,,,,,,
PRESET,,,,,,,,,,,,Thickness,0.233,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,0A6FB4FC-6BB4-2145-9B54-91B08B98C1E6,,"Part_1FlexDim2Fixed_ExtrudedProfile_Stringer-Width-3in-Depth-7in-Thickness-0.465in-0Profile-Hollow Structural Section, HSS-Finish1-0RawMaterial-Steel-FFFFFF",,Part_1FlexDim2Fixed_ExtrudedProfile_Stringer,,"HSS7X3X1/2, Tin, Pure White",,X,,Width,3in,,"0Profile-Hollow Structural Section, HSS",,Finish1,0RawMaterial-Steel,,0,FFFFFF
PRESET,,,,,,,,,,,,Depth,7in,,,,,,,,
PRESET,,,,,,,,,,,,Thickness,0.465in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,BB33CE3E-6B43-C34A-9A74-D7AA0F7707AF,,"Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior-Width-2in-Depth-4.25in-0Profile-Plate Mullion, 2in x 2in Box-Finish1-0RawMaterial-Aluminum-0RawMaterial-Paint-F3F1ED",,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior,,"Plate Mullion, 2in x 2in Box",,X,,Width,2in,,"0Profile-Plate Mullion, 2in x 2in Box",,Finish1,0RawMaterial-Aluminum,0RawMaterial-Paint,,F3F1ED
PRESET,,,,,,,,,,,,Depth,4.25in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,77D18751-8FE9-B244-BDE6-4BE3EDC82506,,"Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior-Width-2in-Depth-6.25in-0Profile-Plate Mullion, 2in x 4in Box-Finish1-0RawMaterial-Aluminum-0RawMaterial-Paint-F3F1ED",,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior,,"Plate Mullion, 2in x 4in Box",,X,,Width,2in,,"0Profile-Plate Mullion, 2in x 4in Box",,Finish1,0RawMaterial-Aluminum,0RawMaterial-Paint,,F3F1ED
PRESET,,,,,,,,,,,,Depth,6.25in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,B4F3D48F-287A-B849-A3FB-826AD03314F6,,"Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior-Width-2in-Depth-8.25in-0Profile-Plate Mullion, 2in x 6in Box-Finish1-0RawMaterial-Aluminum-0RawMaterial-Paint-F3F1ED",,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior,,"Plate Mullion, 2in x 6in Box",,X,,Width,2in,,"0Profile-Plate Mullion, 2in x 6in Box",,Finish1,0RawMaterial-Aluminum,0RawMaterial-Paint,,F3F1ED
PRESET,,,,,,,,,,,,Depth,8.25in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,80C4FCA2-E3F2-9A45-83BA-1DE65AEB11BB,,"Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior-Width-2in-Depth-4.38in-0Profile-C Shape Mullion, 2in x 2in Box-Finish1-0RawMaterial-Aluminum-0RawMaterial-Paint-F3F1ED",,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior,,"C Shape Mullion, 2in x 2in Box",,X,,Width,2in,,"0Profile-C Shape Mullion, 2in x 2in Box",,Finish1,0RawMaterial-Aluminum,0RawMaterial-Paint,,F3F1ED
PRESET,,,,,,,,,,,,Depth,4.38in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,CF7286EE-DE5E-024D-9D64-57B16765BCCC,,"Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior-Width-2in-Depth-6.38in-0Profile-C Shape Mullion, 2in x 4in Box-Finish1-0RawMaterial-Aluminum-0RawMaterial-Paint-F3F1ED",,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior,,"C Shape Mullion, 2in x 4in Box",,X,,Width,2in,,"0Profile-C Shape Mullion, 2in x 4in Box",,Finish1,0RawMaterial-Aluminum,0RawMaterial-Paint,,F3F1ED
PRESET,,,,,,,,,,,,Depth,6.38in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,75311FD2-DDB7-6A4A-B60E-FFB178F55579,,"Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior-Width-2in-Depth-8.38in-0Profile-C Shape Mullion, 2in x 6in Box-Finish1-0RawMaterial-Aluminum-0RawMaterial-Paint-F3F1ED",,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior,,"C Shape Mullion, 2in x 6in Box",,X,,Width,2in,,"0Profile-C Shape Mullion, 2in x 6in Box",,Finish1,0RawMaterial-Aluminum,0RawMaterial-Paint,,F3F1ED
PRESET,,,,,,,,,,,,Depth,8.38in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,AEE337E3-0ABC-764E-91F8-7FD89F896961,,"Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior-Width-2in-Depth-4.75in-0Profile-Reveal Mullion, 2in x 2in Box-Finish1-0RawMaterial-Aluminum-0RawMaterial-Paint-F3F1ED",,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior,,"Reveal Mullion, 2in x 2in Box",,X,,Width,2in,,"0Profile-Reveal Mullion, 2in x 2in Box",,Finish1,0RawMaterial-Aluminum,0RawMaterial-Paint,,F3F1ED
PRESET,,,,,,,,,,,,Depth,4.75in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,0F3E1BD4-8D38-164F-90AA-E9FA79D7918B,,"Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior-Width-2in-Depth-6.75in-0Profile-Reveal Mullion, 2in x 4in Box-Finish1-0RawMaterial-Aluminum-0RawMaterial-Paint-F3F1ED",,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior,,"Reveal Mullion, 2in x 4in Box",,X,,Width,2in,,"0Profile-Reveal Mullion, 2in x 4in Box",,Finish1,0RawMaterial-Aluminum,0RawMaterial-Paint,,F3F1ED
PRESET,,,,,,,,,,,,Depth,6.75in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,0F4877CB-8DD0-8647-8349-4A0C2CF77EE2,,"Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior-Width-2in-Depth-8.75in-0Profile-Reveal Mullion, 2in x 6in Box-Finish1-0RawMaterial-Aluminum-0RawMaterial-Paint-F3F1ED",,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior,,"Reveal Mullion, 2in x 6in Box",,X,,Width,2in,,"0Profile-Reveal Mullion, 2in x 6in Box",,Finish1,0RawMaterial-Aluminum,0RawMaterial-Paint,,F3F1ED
PRESET,,,,,,,,,,,,Depth,8.75in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,38808825-AE8E-FB44-BCF8-352A6BABFCBF,,"Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior-Width-2in-Depth-8.25in-0Profile-Fin Mullion, 2in x 2in Box-Finish1-0RawMaterial-Aluminum-0RawMaterial-Paint-F3F1ED",,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior,,"Fin Mullion, 2in x 2in Box",,X,,Width,2in,,"0Profile-Fin Mullion, 2in x 2in Box",,Finish1,0RawMaterial-Aluminum,0RawMaterial-Paint,,F3F1ED
PRESET,,,,,,,,,,,,Depth,8.25in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,FDE7EF04-87F8-CB45-B71A-0A629BD9E005,,"Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior-Width-2in-Depth-10.25in-0Profile-Fin Mullion, 2in x 4in Box-Finish1-0RawMaterial-Aluminum-0RawMaterial-Paint-F3F1ED",,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior,,"Fin Mullion, 2in x 4in Box",,X,,Width,2in,,"0Profile-Fin Mullion, 2in x 4in Box",,Finish1,0RawMaterial-Aluminum,0RawMaterial-Paint,,F3F1ED
PRESET,,,,,,,,,,,,Depth,10.25in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,B1B3C96B-15FF-FA49-96DE-CE8D65DD8AE6,,"Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior-Width-2in-Depth-12.25in-0Profile-Fin Mullion, 2in x 6in Box-Finish1-0RawMaterial-Aluminum-0RawMaterial-Paint-F3F1ED",,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior,,"Fin Mullion, 2in x 6in Box",,X,,Width,2in,,"0Profile-Fin Mullion, 2in x 6in Box",,Finish1,0RawMaterial-Aluminum,0RawMaterial-Paint,,F3F1ED
PRESET,,,,,,,,,,,,Depth,12.25in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,4563C23B-3EEF-484F-9D3F-5AC139F83A14,,"Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior-Width-2in-Depth-8.1in-0Profile-Rounded Mullion, 2in x 2in Box-Finish1-0RawMaterial-Aluminum-0RawMaterial-Paint-F3F1ED",,Part_1FlexDim2Fixed_ExtrudedProfile_Mullion_Interior,,"Rounded Mullion, 2in x 2in Box",,X,,Width,2in,,"0Profile-Rounded Mullion, 2in x 2in Box",,Finish1,0RawMaterial-Aluminum,0RawMaterial-Paint,,F3F1ED
PRESET,,,,,,,,,,,,Depth,8.1in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
