TYPENAME,,Layer0DTemp,,Layer,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Layer.Name,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Layer.Name,DataType=Dimensions,Dimension,Value,DataType=MiterPriority,Function,Priority,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTintVariation,ColorTint,DataType=ConstructionCost,MaterialCostRate,LaborCostRate
PRESET,,BD4C8BC3-5918-8446-AF45-AEF908E7FA13,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.02in-Finish1-0RawMaterial-Paint-262527-BD4C8BC3-5918-8446-AF45-AEF908E7FA13,,Assembly_2FlexDims1Fixed_Layer0D,,"Typical Coat (1/50in), Paint, Midnight",,Thickness,0.02in,,Finish,1,,Finish1,0RawMaterial-Paint,,,262527,,,
PRESET,,8250982F-E629-C84C-B1FB-F4F2801C1A4A,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.5in-Finish1-0RawMaterial-Concrete (Fine Aggregate)-AC998D-8250982F-E629-C84C-B1FB-F4F2801C1A4A,,Assembly_2FlexDims1Fixed_Layer0D,,"1/2in, Concrete (Fine Aggregate), Maple",,Thickness,0.5in,,Finish,1,,Finish1,0RawMaterial-Concrete (Fine Aggregate),,,AC998D,,,
PRESET,,49836543-CCED-E34E-B3E7-E4480E480FA1,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.75in-Finish1-0RawMaterial-Concrete (Fine Aggregate)-ABA283-49836543-CCED-E34E-B3E7-E4480E480FA1,,Assembly_2FlexDims1Fixed_Layer0D,,"3/4in, Concrete (Fine Aggregate), Olive",,Thickness,0.75in,,Finish,1,,Finish1,0RawMaterial-Concrete (Fine Aggregate),,,ABA283,,,
PRESET,,51559653-AA73-7E4B-8676-D23DC1DF68D0,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.25in-Finish1-0RawMaterial-Mortar-C6C6C6-51559653-AA73-7E4B-8676-D23DC1DF68D0,,Assembly_2FlexDims1Fixed_Layer0D,,"1/4in, Mortar, Natural",,Thickness,0.25in,,Substrate,30,,Finish1,0RawMaterial-Mortar,,,C6C6C6,,,
PRESET,,49D08B25-845F-044F-A903-873BEC9F78CB,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.09375in-Finish1-0RawMaterial-Glass-F2F2F2-49D08B25-845F-044F-A903-873BEC9F78CB,,Assembly_2FlexDims1Fixed_Layer0D,,"3/32in, Glass, Untinted",,Thickness,0.09375in,,Finish,1,,Finish1,0RawMaterial-Glass,,,F2F2F2,,,
PRESET,,F4C2A134-CD3C-8C42-85C9-625A51A767A6,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.125in-Finish1-0RawMaterial-Glass-F2F2F2-F4C2A134-CD3C-8C42-85C9-625A51A767A6,,Assembly_2FlexDims1Fixed_Layer0D,,"1/8in, Glass, Untinted",,Thickness,0.125in,,Finish,1,,Finish1,0RawMaterial-Glass,,,F2F2F2,,,
PRESET,,3214528D-AE89-B243-BA75-4095C6735BF7,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.125in-Finish1-0RawMaterial-Glass-D6DAD8-3214528D-AE89-B243-BA75-4095C6735BF7,,Assembly_2FlexDims1Fixed_Layer0D,,"1/8in, Glass, Slate",,Thickness,0.125in,,Finish,1,,Finish1,0RawMaterial-Glass,,,D6DAD8,,,
PRESET,,C5DD6A97-5C19-8D4A-8255-65D1954267F0,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.25in-Finish1-0RawMaterial-Glass-D6DAD8-C5DD6A97-5C19-8D4A-8255-65D1954267F0,,Assembly_2FlexDims1Fixed_Layer0D,,"1/4in, Glass, Slate",,Thickness,0.25in,,Finish,1,,Finish1,0RawMaterial-Glass,,,D6DAD8,,,
PRESET,,93AFFBB9-4672-8C41-AA2D-80CB58D68CA4,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-1in-Finish1-0RawMaterial-Glass-D6DAD8-93AFFBB9-4672-8C41-AA2D-80CB58D68CA4,,Assembly_2FlexDims1Fixed_Layer0D,,"1in, Glass, Slate",,Thickness,1in,,Finish,1,,Finish1,0RawMaterial-Glass,,,D6DAD8,,,
PRESET,,2B8D79B1-DE9B-A146-90E7-41382B29654B,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.5in-Finish1-0RawMaterial-Air-FFFFFF-2B8D79B1-DE9B-A146-90E7-41382B29654B,,Assembly_2FlexDims1Fixed_Layer0D,,"1/2in, Air, Clear",,Thickness,0.5in,,Void,1,,Finish1,0RawMaterial-Air,,,FFFFFF,,,
PRESET,,EC3A8B27-19A5-6048-9B85-734174FDFA74,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.625in-Finish1-0RawMaterial-Air-FFFFFF-EC3A8B27-19A5-6048-9B85-734174FDFA74,,Assembly_2FlexDims1Fixed_Layer0D,,"5/8in, Air, Clear",,Thickness,0.625in,,Void,1,,Finish1,0RawMaterial-Air,,,FFFFFF,,,
PRESET,,F4C11F58-4868-384E-A8EC-BC982181F1E3,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.75in-Finish1-0RawMaterial-Air-FFFFFF-F4C11F58-4868-384E-A8EC-BC982181F1E3,,Assembly_2FlexDims1Fixed_Layer0D,,"3/4in, Air, Clear",,Thickness,0.75in,,Void,1,,Finish1,0RawMaterial-Air,,,FFFFFF,,,
PRESET,,8CD301BC-8707-7745-AD1D-6CAF94B37577,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-1in-Finish1-0RawMaterial-Air-FFFFFF-8CD301BC-8707-7745-AD1D-6CAF94B37577,,Assembly_2FlexDims1Fixed_Layer0D,,"1in, Air, Clear",,Thickness,1in,,Void,1,,Finish1,0RawMaterial-Air,,,FFFFFF,,,
PRESET,,62A90BCC-EDED-4B4F-9E0F-37E64D141320,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-3in-Finish1-0RawMaterial-Air-FFFFFF-62A90BCC-EDED-4B4F-9E0F-37E64D141320,,Assembly_2FlexDims1Fixed_Layer0D,,"3in, Air, Clear",,Thickness,3in,,Void,1,,Finish1,0RawMaterial-Air,,,FFFFFF,,,
PRESET,,D05FED57-B79F-4743-AA4E-B491EB4DBFE8,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-6in-Finish1-0RawMaterial-Air-FFFFFF-D05FED57-B79F-4743-AA4E-B491EB4DBFE8,,Assembly_2FlexDims1Fixed_Layer0D,,"6in, Air, Clear",,Thickness,6in,,Void,1,,Finish1,0RawMaterial-Air,,,FFFFFF,,,
PRESET,,8D2CBB4E-8D68-2E40-BD00-91138E071194,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-12in-Finish1-0RawMaterial-Air-FFFFFF-8D2CBB4E-8D68-2E40-BD00-91138E071194,,Assembly_2FlexDims1Fixed_Layer0D,,"12in, Air, Clear",,Thickness,12in,,Void,1,,Finish1,0RawMaterial-Air,,,FFFFFF,,,
