TYPENAME,2Part0Slice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"Toaster-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Toaster,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Toaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
PRESET,"Blender-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Blender,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Blender,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
PRESET,"StackofBooks-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Stack of Books,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Stack of Books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
PRESET,"Vase-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Vase,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
PRESET,"4""RecessedCan-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,"4"" Recessed Canister",,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard","4"" Recessed Can",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
PRESET,"3""RecessedCan-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,"3"" Recessed Canister",,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard","3"" Recessed Can",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
PRESET,TraditionalSconce-Base,,,,Sconce,,Base,Traditional Sconce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
PRESET,,,,,,,Shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,ModernSconce-Base,,,,Sconce,,Base,Modern Sconce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
PRESET,,,,,,,Shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"KitchenSinkFaucet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Faucet,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Kitchen Sink Faucet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
PRESET,"BathroomSinkFaucet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Faucet,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Bathroom Sink Faucet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
PRESET,"TabletopPlant-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Small Potted Plant,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Tabletop Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
PRESET,"FloorPlant-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Large Potted Plant,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Floor Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
PRESET,"Rosemary-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Rosemary Shrub,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Rosemary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
PRESET,"Blackberry-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Blackberry Shrub,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Blackberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
PRESET,"Oak-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Oak Tree,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Oak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
PRESET,"JapaneseMaple-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Japanese Maple Tree,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Japanese Maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
