TYPENAME,,PartNonMesh,,Module,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Module.Name,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Module.Name,DataType=Dimensions,Dimension,Value,DataType=Profile,Module.Profile,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTintVariation,ColorTint,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.0625in-Finish1-0RawMaterial-Asphalt-594D41,,Assembly_2FlexDims1Fixed_PlanarPattern,,"1/16in, Asphalt, Barkwood",,Thickness,0.0625in,,,,Finish1,0RawMaterial-Asphalt,,0,594D41,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.0625in-Finish1-0RawMaterial-Plastic-6B6B6B,,Assembly_2FlexDims1Fixed_PlanarPattern,,"1/16in, Plastic, Gray 6",,Thickness,0.0625in,,,,Finish1,0RawMaterial-Plastic,,0,6B6B6B,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.0625in-Finish1-0RawMaterial-Plastic-6B6B6B,,Assembly_2FlexDims1Fixed_PlanarPattern,,"1/16in, Plastic, Gray 6",,Thickness,0.0625in,,,,Finish1,0RawMaterial-Plastic,,0,6B6B6B,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.0625in-Finish1-0RawMaterial-Plastic-6B6B6B,,Assembly_2FlexDims1Fixed_PlanarPattern,,"1/16in, Plastic, Gray 6",,Thickness,0.0625in,,,,Finish1,0RawMaterial-Plastic,,0,6B6B6B,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.0625in-Finish1-0RawMaterial-Plastic-6B6B6B,,Assembly_2FlexDims1Fixed_PlanarPattern,,"1/16in, Plastic, Gray 6",,Thickness,0.0625in,,,,Finish1,0RawMaterial-Plastic,,0,6B6B6B,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
