TYPENAME,,PartNonMesh,,Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Assembly.Name,,,,,,,,,,,,,,,,,,,,,,,,
,,InputExtensibility,,InputPreset,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildMaterial,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimension,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimWD,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimLW,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimThk,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimLWH,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildProfile,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Assembly.Name,DataType=StartsInProject,x,DataType=Dimensions,Dimension,Value,UI Group,DataType=Profile,Module.Profile,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTintVariation,ColorTint,DataType=InputPins,ChildMaterial,ChildDimension,ChildDimWD,ChildDimLW,ChildDimThk,ChildDimLWH,ChildProfile,DataType=TG_Parent Node+CategoryPath,TG_ParentNode+CategoryPath
PRESET,,Part_ExtrudedProfile_BeamColumn_WoodRectangular-Width-8in-Depth-8in-0Profile-Plate Section-Finish1-0RawMaterial-Oak (White)---FFFFFF,,Part_ExtrudedProfile_BeamColumn_WoodRectangular,,"8in x 8in, Oak (White), Natural",,X,,Width,8in,Major,,0Profile-Plate Section,,Finish1,0RawMaterial-Oak (White),-,0.05,FFFFFF,,1Material_Wood_Oak - White-0RawMaterial-Oak (White)-0Color_Wood_Oak - White-FFFFFF-Natural,0DimWD-8inW-8inD,,,,,0Profile-Plate Section,,
PRESET,,,,,,,,,,Depth,8in,Major,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,IconLength,48in,Preview,,,,,,,,,,,,,,,,,,
PRESET,,Part_ExtrudedProfile_BeamColumn_WoodRound-Diameter-8in-0Profile-Tube Steel-Finish1-0RawMaterial-Cedar (Western Red)---FFFFFF,,Part_ExtrudedProfile_BeamColumn_WoodRound,,"8in, Cedar (White), Natural",,X,,Diameter,8in,Major,,0Profile-Tube Steel,,Finish1,0RawMaterial-Cedar (Western Red),-,0.05,FFFFFF,,1Material_Wood_Cedar - White-0RawMaterial-Cedar (White)-0Color_Wood_Cedar - White-FFFFFF-Natural,0DimDi-8in,,,,,0Profile-Tube Steel,,
PRESET,,,,,,,,,,IconLength,48in,Preview,,,,,,,,,,,,,,,,,,
PRESET,,Part_ExtrudedProfile_BeamColumn_WoodRound-Diameter-12in-0Profile-Tube Steel-Finish1-0RawMaterial-Oak (Red)---FFFFFF,,Part_ExtrudedProfile_BeamColumn_WoodRound,,"12in, Oak (Red), Natural",,X,,Diameter,12in,Major,,0Profile-Tube Steel,,Finish1,0RawMaterial-Oak (Red),-,0.05,FFFFFF,,1Material_Wood_Oak - Red-0RawMaterial-Oak (Red)-0Color_Wood_Oak - Red-FFFFFF-Natural,0DimDi-12in,,,,,0Profile-Tube Steel,,
PRESET,,,,,,,,,,IconLength,48in,Preview,,,,,,,,,,,,,,,,,,
PRESET,,Part_ExtrudedProfile_Mullion-Width-2in-Depth-3in-0Profile-Rectangular Mullion-Finish1-0RawMaterial-Aluminum---FFFFFF,,Part_ExtrudedProfile_Mullion,,"2in x 3in, Aluminum, Pure White",,X,,Width,2in,Major,,0Profile-Rectangular Mullion,,Finish1,0RawMaterial-Aluminum,-,0,FFFFFF,,1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-FFFFFF-PureWhite,0DimWD-2inW-3inD,,,,,0Profile-Rectangular Mullion,,
PRESET,,,,,,,,,,Depth,3in,Major,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,IconLength,48in,Preview,,,,,,,,,,,,,,,,,,
PRESET,,Part_ExtrudedProfile_Mullion-Width-2in-Depth-4in-0Profile-Rectangular Mullion-Finish1-0RawMaterial-Aluminum---FFFFFF,,Part_ExtrudedProfile_Mullion,,"2in x 4in, Aluminum, Light Gray",,X,,Width,2in,Major,,0Profile-Rectangular Mullion,,Finish1,0RawMaterial-Aluminum,-,0,FFFFFF,,1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-EBECF0-LightGray,0DimWD-2inW-4inD,,,,,0Profile-Rectangular Mullion,,
PRESET,,,,,,,,,,Depth,4in,Major,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,IconLength,48in,Preview,,,,,,,,,,,,,,,,,,
PRESET,,Part_ExtrudedProfile_Mullion-Width-2in-Depth-6in-0Profile-Rectangular Mullion-Finish1-0RawMaterial-Aluminum---FFFFFF,,Part_ExtrudedProfile_Mullion,,"2in x 6in, Aluminum, Sandstone",,X,,Width,2in,Major,,0Profile-Rectangular Mullion,,Finish1,0RawMaterial-Aluminum,-,0,FFFFFF,,1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-C4B99D-Sandstone,0DimWD-2inW-6inD,,,,,0Profile-Rectangular Mullion,,
PRESET,,,,,,,,,,Depth,6in,Major,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,IconLength,48in,Preview,,,,,,,,,,,,,,,,,,
PRESET,,"Part_ExtrudedProfile_Stringer-Width-7in-Depth-7in-Thickness-0.233-0Profile-Hollow Structural Section, HSS-Finish1-0RawMaterial-Steel---FFFFFF",,Part_ExtrudedProfile_Stringer,,"HSS7X7X1/4, Steel, Untinted",,X,,Width,7in,Major,,"0Profile-Hollow Structural Section, HSS",,Finish1,0RawMaterial-Steel,-,0,FFFFFF,,1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted,0DimWDT_HSS-7inW-7inD-0.233inT,,,,,"0Profile-Hollow Structural Section, HSS",,
PRESET,,,,,,,,,,Depth,7in,Major,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,Thickness,0.233,Minor,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,IconLength,48in,Preview,,,,,,,,,,,,,,,,,,
PRESET,,"Part_ExtrudedProfile_Stringer-Width-3in-Depth-7in-Thickness-0.465in-0Profile-Hollow Structural Section, HSS-Finish1-0RawMaterial-Steel---FFFFFF",,Part_ExtrudedProfile_Stringer,,"HSS7X3X1/2, Tin, Pure White",,X,,Width,3in,Major,,"0Profile-Hollow Structural Section, HSS",,Finish1,0RawMaterial-Steel,-,0,FFFFFF,,1Material_Metal_Tin-0RawMaterial-Tin-0Color_Metal_Aluminum-FFFFFF-PureWhite,0DimWDT_HSS-3inW-7inD-0.465inT,,,,,"0Profile-Hollow Structural Section, HSS",,
PRESET,,,,,,,,,,Depth,7in,Major,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,Thickness,0.465in,Minor,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,IconLength,48in,Preview,,,,,,,,,,,,,,,,,,
PRESET,,"Part_ExtrudedProfile_Trim_FloorMoulding-Width-3.5in-Depth-0.625in-0Profile-Colonial Base, 3 1/2""-Finish1-0RawMaterial-Paint---F3F1ED",,Part_ExtrudedProfile_Trim_FloorMoulding,,"3.5in x .625in, Paint, Gentle White",,X,,Width,3.5in,Major,,"0Profile-Colonial Base, 3 1/2""",,Finish1,0RawMaterial-Paint,-,0,F3F1ED,,1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-F3F1ED-GentleWhite,0DimWD-3.5inW-.625inD,,,,,"0Profile-Colonial Base, 3 1/2""",,
PRESET,,,,,,,,,,Depth,0.625in,Major,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,IconLength,48in,Preview,,,,,,,,,,,,,,,,,,
PRESET,,"Part_ExtrudedProfile_Trim_FloorMoulding-Width-5.5in-Depth-0.625in-0Profile-Colonial Base, 5 1/4""-Finish1-0RawMaterial-Paint---C4C4C4",,Part_ExtrudedProfile_Trim_FloorMoulding,,"5.25in x .625in, Paint, Grey",,X,,Width,5.5in,Major,,"0Profile-Colonial Base, 5 1/4""",,Finish1,0RawMaterial-Paint,-,0,C4C4C4,,1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-C4C4C4-Grey,0DimWD-5.25inW-.625inD,,,,,"0Profile-Colonial Base, 5 1/4""",,
PRESET,,,,,,,,,,Depth,0.625in,Major,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,IconLength,48in,Preview,,,,,,,,,,,,,,,,,,
