TYPENAME,,0Color,,Color,,,,
,,Definition,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,
PROPERTY,,DisplayText,,Name,,Color.Name,,
PROPERTY,,HexValue,,,,Color.HEXValue,,
,,Presets,,,,,,
TAGPATHS,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Color.Name,Color.HEXValue,
PRESET,,0Color_Fabric and Upholstery_Carpet-464F3C-OliveGreen,,0Color_Fabric and Upholstery_Carpet,,Olive Green,464F3C,
PRESET,,0Color_Fabric and Upholstery_Carpet-7A878F-SilverBlue,,0Color_Fabric and Upholstery_Carpet,,Silver Blue,7A878F,
PRESET,,0Color_Fabric and Upholstery_Carpet-38485F-OrderlyBlue,,0Color_Fabric and Upholstery_Carpet,,Orderly Blue,38485F,
PRESET,,0Color_Fabric and Upholstery_Carpet-3C3B40-Ink,,0Color_Fabric and Upholstery_Carpet,,Ink,3C3B40,
PRESET,,0Color_Fabric and Upholstery_Carpet-534E4A-Charcoal,,0Color_Fabric and Upholstery_Carpet,,Charcoal,534E4A,
PRESET,,0Color_Fabric and Upholstery_Cotton-FFFFFF-Untinted,,0Color_Fabric and Upholstery_Cotton,,Untinted,FFFFFF,
PRESET,,0Color_Fabric and Upholstery_Cotton-CCCCCC-Dark,,0Color_Fabric and Upholstery_Cotton,,Dark,CCCCCC,
PRESET,,0Color_Fabric and Upholstery_Felt-2B2C30-Black,,0Color_Fabric and Upholstery_Felt,,Black,2B2C30,
PRESET,,0Color_Fabric and Upholstery_Felt-977953-Shakewood,,0Color_Fabric and Upholstery_Felt,,Shakewood,977953,
PRESET,,0Color_Fabric and Upholstery_Felt-9E8C74-Tan,,0Color_Fabric and Upholstery_Felt,,Tan,9E8C74,
PRESET,,0Color_Fabric and Upholstery_Felt-564237-Brown,,0Color_Fabric and Upholstery_Felt,,Brown,564237,
PRESET,,0Color_Fabric and Upholstery_Felt-44443C-WeatheredBrown,,0Color_Fabric and Upholstery_Felt,,Weathered Brown,44443C,
PRESET,,0Color_Fabric and Upholstery_Felt-AE5529-Aztec,,0Color_Fabric and Upholstery_Felt,,Aztec,AE5529,
PRESET,,0Color_Fabric and Upholstery_Felt-CDA488-Camel,,0Color_Fabric and Upholstery_Felt,,Camel,CDA488,
PRESET,,0Color_Fabric and Upholstery_Felt-B9A081-Khaki,,0Color_Fabric and Upholstery_Felt,,Khaki,B9A081,
PRESET,,0Color_Fabric and Upholstery_Felt-C79A59-Gold,,0Color_Fabric and Upholstery_Felt,,Gold,C79A59,
PRESET,,0Color_Fabric and Upholstery_Felt-66604A-Olive,,0Color_Fabric and Upholstery_Felt,,Olive,66604A,
PRESET,,0Color_Fabric and Upholstery_Felt-45484D-Titanium,,0Color_Fabric and Upholstery_Felt,,Titanium,45484D,
PRESET,,0Color_Fabric and Upholstery_Felt-1E5612-EnglishGreen,,0Color_Fabric and Upholstery_Felt,,English Green,1E5612,
PRESET,,0Color_Fabric and Upholstery_Felt-08422D-DarkGreen,,0Color_Fabric and Upholstery_Felt,,Dark Green,08422D,
PRESET,,0Color_Fabric and Upholstery_Felt-535971-AcademyBlue,,0Color_Fabric and Upholstery_Felt,,Academy Blue,535971,
PRESET,,0Color_Fabric and Upholstery_Felt-021F7F-EuroBlue,,0Color_Fabric and Upholstery_Felt,,Euro Blue,021F7F,
PRESET,,0Color_Fabric and Upholstery_Felt-080C2F-Navy,,0Color_Fabric and Upholstery_Felt,,Navy,080C2F,
PRESET,,0Color_Fabric and Upholstery_Felt-1D0750-Purple,,0Color_Fabric and Upholstery_Felt,,Purple,1D0750,
PRESET,,0Color_Fabric and Upholstery_Felt-2B519A-ElectricBlue,,0Color_Fabric and Upholstery_Felt,,Electric Blue,2B519A,
PRESET,,0Color_Fabric and Upholstery_Felt-6C6F74-SteelGray,,0Color_Fabric and Upholstery_Felt,,Steel Gray,6C6F74,
PRESET,,0Color_Fabric and Upholstery_Felt-685141-Taupe,,0Color_Fabric and Upholstery_Felt,,Taupe,685141,
PRESET,,0Color_Fabric and Upholstery_Felt-7A2022-Burgundy,,0Color_Fabric and Upholstery_Felt,,Burgundy,7A2022,
PRESET,,0Color_Fabric and Upholstery_Felt-4A0C17-Wine,,0Color_Fabric and Upholstery_Felt,,Wine,4A0C17,
PRESET,,0Color_Fabric and Upholstery_Felt-5F625B-Slate,,0Color_Fabric and Upholstery_Felt,,Slate,5F625B,
